# AUTHORS
# 
# (c) 
#     Aleksander Pohl apohllo@o2.pl
#     Jakub Perlinski 
# 
# LICENSE
#
# This work is distributed under Creative Commons Attribution 3.0 Unported (CC BY 3.0).
# http://creativecommons.org/licenses/by/3.0/
# 
# This work is an extension of OpenCyc Knowledge Base distributed under Apache 2.0 license.
# http://www.opencyc.org/license
# 
# Format: Cyc Concept external ID	Polish mapping	Concept name
Mx4rvViJP5wpEbGdrcN5Y29ycA	octan	Acetate
Mx4rwQCaM5wpEbGdrcN5Y29ycA	kwas octowy	AceticAcid
Mx4rzuI2jJCGQdebtMrGHLDdEw	bezwodnik octowy	AceticAnhydride
Mx4rK82dDuzrQdaYcJZo3AyEcg	aceton	Acetone
Mx4ry_OHpmoLQdeFJOb7yD-p1g	acetylen	Acetylene
Mx4rwP35PJwpEbGdrcN5Y29ycA	aspiryna	AcetylsalicylicAcid
Mx4rvsWc5ZwpEbGdrcN5Y29ycA	osiąganie stanu nirwany	AchievingNirvana
Mx4rsfwuAHS9EdaAAACgyZzFrg	zgaga	AcidIndigestion
Mx4rvgD4hZwpEbGdrcN5Y29ycA	kwaśny deszcz	AcidRainProcess
Mx4rES1yRgrWEdaAAABQ2sS97g	kwas	AcidType
Mx4rjIpJ1vjZQdadloF7u8oEsQ	kwas dwuzasadowy	AcidType-Diprotic
Mx4r1ZX-WvNRQdaHcIBm7fM5hA	kwas tlenowy	AcidType-Lewis
Mx4rGKkOyvZLQdaONfI73-kRjQ	mocny kwas	AcidType-Strong
Mx4rVV4YnPZLQdaZk5Ad_SnNbg	słaby kwas	AcidType-Weak
Mx4rwP1iKZwpEbGdrcN5Y29ycA	trądzik	Acne
Mx4rwP3osJwpEbGdrcN5Y29ycA	środek na trądzik	AcneMedication
Mx4rvaULwpwpEbGdrcN5Y29ycA	preparat przeciw trądzikowi	AcneProduct
Mx4rvVjv2ZwpEbGdrcN5Y29ycA	żołądź	Acorn
Mx4rvVkBFZwpEbGdrcN5Y29ycA	poziom natężenia dźwięku	AcousticNoiseLevel
Mx4rNfsY6nQ4Qdear8wabWKsEg	broń akustyczna	AcousticWeapon
Mx4rwAdAqZwpEbGdrcN5Y29ycA	akustyka	Acoustics
Mx4rvVj1VpwpEbGdrcN5Y29ycA	stopień znajomości	AcquaintancePredicate
Mx4rvVj605wpEbGdrcN5Y29ycA	akr	Acre
Mx4rv5EdKZwpEbGdrcN5Y29ycA	akrobata	Acrobat
Mx4rr4Rvwr7UQdeKh4FF_Z5OrQ	akroleina	Acrolein
Mx4rvmrF8pwpEbGdrcN5Y29ycA	wyrostek barkowy	Acromion
Mx4rvWHOBJwpEbGdrcN5Y29ycA	skrótowiec	Acronym
Mx4rwQtcEpwpEbGdrcN5Y29ycA	akrofobia	Acrophobia
Mx4rvey7MJwpEbGdrcN5Y29ycA	akropol	Acropolis
Mx4rwVJ7E5wpEbGdrcN5Y29ycA	akrostych	Acrostic-IBO
Mx4rvgHmiZwpEbGdrcN5Y29ycA	tkanina akrylowa	AcrylicCloth
Mx4rcUYE1HXLQdefT7Qc1GcBWg	włókno akrylowe	AcrylicFiber
Mx4rvVkCd5wpEbGdrcN5Y29ycA	farba akrylowa	AcrylicPaint
Mx4rvVjYhpwpEbGdrcN5Y29ycA	obraz akrylowy	AcrylicPainting
Mx4rgA7sdHXLQdeA04J4f56iqg	żywica akrylowa	AcrylicResin
Mx4rTHiRKnZnQdeBXpSBn2-mPQ	akrylonitryl	Acrylonitrile
Mx4rv9diU5wpEbGdrcN5Y29ycA	akt	Act-Dramatic
Mx4rwQrwJpwpEbGdrcN5Y29ycA	akt sprzeciwu	ActOfDissent
Mx4rvVi6kpwpEbGdrcN5Y29ycA	granie	Acting
Mx4rwJfPOJwpEbGdrcN5Y29ycA	zespół aktorski	ActingCompany
Mx4rnFd-9rjBEdmAAAACs6hRjg	współdziałanie	ActingInConcert
Mx4rvViK9JwpEbGdrcN5Y29ycA	aktyn	Actinium
Mx4rwGplPJwpEbGdrcN5Y29ycA	aktynolit	Actinolite
Mx4rwEhCIJwpEbGdrcN5Y29ycA	gra akcji	ActionGameProgram
Mx4rv2VcW5wpEbGdrcN5Y29ycA	film akcji	ActionMovie
Mx4rwR6DGJwpEbGdrcN5Y29ycA	predykat działania	ActionPredicate
Mx4rXtANHHSwEdaAAACgyZzFrg	rodzaj działania ze względu na jego legalność	ActionTypeByLegality
Mx4rvVin2ZwpEbGdrcN5Y29ycA	czynne kupowanie	ActiveBuyingActivity
Mx4ruJ4InnSwEdaAAACgyZzFrg	stan uruchomienia urządzenia	ActiveDeviceState
Mx4rwF9B8ZwpEbGdrcN5Y29ycA	sonar aktywny	ActiveSonar-Device
Mx4rwRwbWpwpEbGdrcN5Y29ycA	aktywizm	Activism
Mx4rvkb6BZwpEbGdrcN5Y29ycA	aktor dubbingowy	Actor-Voice
Mx4rv7rsJpwpEbGdrcN5Y29ycA	aktor musicalowy	ActorInMusicals
Mx4rwNFwmZwpEbGdrcN5Y29ycA	aktor teatralny	ActorInPlays
Mx4rvef1DJwpEbGdrcN5Y29ycA	aktor telewizyjny	ActorOnTV
Mx4rv89t05wpEbGdrcN5Y29ycA	Dzieje Apostolskie	Acts-BookOfBible
Mx4rsYyNlohwEdqAAAACs6hRXg	aktuariusz	Actuary
Mx4rwFDrqpwpEbGdrcN5Y29ycA	akupresura	Acupressure
Mx4rvzCuJJwpEbGdrcN5Y29ycA	akupunktura	Acupuncture
Mx4rv9vNupwpEbGdrcN5Y29ycA	igła do akupunktury	AcupunctureNeedle
Mx4rwPMQc5wpEbGdrcN5Y29ycA	akupunkturzysta	Acupuncturist
Mx4rPXK7mp7HQdiWp-u8Px_9IQ	acyklowir	Acyclovir
Mx4rv99KgZwpEbGdrcN5Y29ycA	adamsyt	Adamsite
Mx4rz8Y1HDAEQdieyelU0gk2PQ	adaptacja	Adaptation
Mx4rwP1Pk5wpEbGdrcN5Y29ycA	uzależnienie	Addiction
Mx4rvWFh2pwpEbGdrcN5Y29ycA	specjalista terapii uzależnień	AddictionMedicineSpecialist
Mx4rvWSwfpwpEbGdrcN5Y29ycA	psychiatra od uzależnień	AddictionPsychiatrist
Mx4rvVkKGJwpEbGdrcN5Y29ycA	adres fizyczny	Address-PhysicalLocationDesignator
Mx4rwP1l1pwpEbGdrcN5Y29ycA	książka adresowa	AddressBook
Mx4rwPso9ZwpEbGdrcN5Y29ycA	etykietka kontaktowa	AddressLabel
Mx4rvju_TpwpEbGdrcN5Y29ycA	protokół odwzorowania adresów	AddressResolutionProtocol
Mx4rvywQhZwpEbGdrcN5Y29ycA	adresat	Addressee
Mx4rvc_d_JwpEbGdrcN5Y29ycA	adenina	Adenine-Base
Mx4rvi91dpwpEbGdrcN5Y29ycA	nukleotyd adeninowy	AdenineNucleotide
Mx4rD8W-hizVQdiYiPZtWjsBww	zwolennik	Adherent
Mx4rvaRHUJwpEbGdrcN5Y29ycA	taśma klejąca	AdhesiveTape
Mx4r7eWH4WMnEd2GygDggVfexA	przymiotnik	Adjective
Mx4r0DjuxnS9EdaAAACgyZzFrg	pożyczka ze zmiennym oprocentowaniem	AdjustableRateLoan
Mx4rvkHC-5wpEbGdrcN5Y29ycA	kredyt hipoteczny ze zmiennym oprocentowaniem	AdjustableRateMortgage
Mx4rvVjepJwpEbGdrcN5Y29ycA	klucz nastawny	AdjustableWrench
Mx4rvVqeipwpEbGdrcN5Y29ycA	podawanie leku	AdministeringADrug
Mx4r7qkBJPbQQdiPIpOds3JSCw	wstrzykiwanie	AdministeringAnInjection
Mx4rpSRVQQrSEdaQqAABAxv-7A	narzędzie administracyjne	AdministrationProgram
Mx4rvVj6npwpEbGdrcN5Y29ycA	asystent administracyjny	AdministrativeAssistant
Mx4rFNOiCMvnEdaAAAACs0uFOQ	administracja	AdministrativeDepartment
Mx4rJ8uWuNHaQdiKhbW7yco-Cg	rozprawa administracyjna	AdministrativeHearing
Mx4rwQwU95wpEbGdrcN5Y29ycA	pracownik administracyjny	AdministrativeStaffPerson
Mx4rvViu3JwpEbGdrcN5Y29ycA	zarządca	Administrator
Mx4rwG3H7pwpEbGdrcN5Y29ycA	konto administratora	AdministratorAccount
Mx4rfmWO_HS8EdaAAACgyZzFrg	admirał	Admiral-Rank
Mx4rvViyC5wpEbGdrcN5Y29ycA	podziw	Admiration
Mx4rvViDGJwpEbGdrcN5Y29ycA	dział rekrutacji	AdmissionsDepartment
Mx4rvcBbxpwpEbGdrcN5Y29ycA	przyznanie członkostwa	AdmitToMembership
Mx4rwFoGVJwpEbGdrcN5Y29ycA	cegła suszona	AdobeBrick
Mx4rveU3lpwpEbGdrcN5Y29ycA	glina namulona	AdobeClay
Mx4rv8dMEZwpEbGdrcN5Y29ycA	adopcja	Adoption
Mx4rvXYiz5wpEbGdrcN5Y29ycA	nadnercze	AdrenalGland
Mx4rvj_MRZwpEbGdrcN5Y29ycA	adrenalina	Adrenaline
Mx4rvVis2JwpEbGdrcN5Y29ycA	Morze Adriatyckie	AdriaticSea
Mx4rwINNkJwpEbGdrcN5Y29ycA	strona z weryfikacją pełnoletności	AdultCheckWebSite
Mx4rwDFJqJwpEbGdrcN5Y29ycA	dorosły konsument	AdultConsumer
Mx4rwOl7YpwpEbGdrcN5Y29ycA	weryfikacja pełnoletności	AdultVerification-Service
Mx4rv_xb8JwpEbGdrcN5Y29ycA	zaawansowana amfibia szturmowa	AdvancedAmphibiousAssaultVehicle
Mx4rXCEtccQ0EdaLxgACs6MxsQ	zaawansowana działalność badawcza i rozwojowa	AdvancedResearchAndDevelopmentActivity
Mx4rvViadJwpEbGdrcN5Y29ycA	awanse	AdvancingOnSportsOpponent
Mx4rvVjSWJwpEbGdrcN5Y29ycA	przechodzenie do następnej rundy	AdvancingToTheNextRound
Mx4rJMKo9rjMEdmAAAACs6hRjg	przygoda	Adventure
Mx4rvt4ftpwpEbGdrcN5Y29ycA	gra przygodowa	AdventureGameProgram
Mx4rvgx-T5wpEbGdrcN5Y29ycA	film przygodowy	AdventureMovie
Mx4rvaYqyZwpEbGdrcN5Y29ycA	rajd przygodowy	AdventureRace-SportsEvent
Mx4rvtMgA5wpEbGdrcN5Y29ycA	rajdy przygodowe	AdventureRacing-SportCW
Mx4rvViALJwpEbGdrcN5Y29ycA	przysłówek	Adverb
Mx4rwP2CJJwpEbGdrcN5Y29ycA	reklama	Advertisement-PCW
Mx4rvVilyZwpEbGdrcN5Y29ycA	reklama drukowana	Advertisement-Print
Mx4rTC0zuCBBQdiQX6Wa46zM_A	reklamodawca	Advertiser
Mx4rnhffrDI1QdedN-j80qW_ZQ	reklama handlowa	Advertising-Business
Mx4rvB4liDI1QdeUUpuXFCqRzg	reklama polityczna	Advertising-Political
Mx4rvViK6pwpEbGdrcN5Y29ycA	agencja reklamowa	AdvertisingAgency
Mx4rv_XKU5wpEbGdrcN5Y29ycA	kampania reklamowa	AdvertisingCampaign
Mx4rvV-_fJwpEbGdrcN5Y29ycA	doradzanie	Advising
Mx4rc-XS8IJLQdeU9IWdf04C6A	doradztwo	Advising-Professional
Mx4r0hlXAuvlQdieFbf06sqfNg	doradca	Advisor
Mx4rN-2HTk2CQdmKEbuVFCl8Hg	doradca giełdowy	AdvisoryStockbroker
Mx4rv0_hXZwpEbGdrcN5Y29ycA	organizacja interesu	AdvocacyOrganization
Mx4rkpnEysksEdmAAAACs6hRjg	adept	Advocate
Mx4r32pPxAhFEdqAAAAOpjlAWA	adwokat	Advocate-CourtesyTitle
Mx4rvVi3lJwpEbGdrcN5Y29ycA	bronienie sprawy	AdvocatingACause
Mx4rvVi-B5wpEbGdrcN5Y29ycA	Morze Egejskie	AegeanSea
Mx4rv1FALZwpEbGdrcN5Y29ycA	atak powietrzny	AerialAttack
Mx4rvV8c0ZwpEbGdrcN5Y29ycA	bomba lotnicza	AerialBomb
Mx4rdasacHDdEdePqAADR6QijQ	bombardowanie lotnicze	AerialBombing
Mx4rv9yhk5wpEbGdrcN5Y29ycA	dyspersja powietrza	AerialDispersionEvent
Mx4rwP1WwZwpEbGdrcN5Y29ycA	perspektywa z lotu ptaka	AerialPerspective
Mx4rnU8r829PEdeSPgACs2TnIQ	powietrzny atak chemiczny	AerialSprayAttack
Mx4rwHwrKZwpEbGdrcN5Y29ycA	bakteria tlenowa	AerobicBacterium
Mx4rvwzLEZwpEbGdrcN5Y29ycA	fotosynteza tlenowa	AerobicPhotosynthesis
Mx4rwFzvUZwpEbGdrcN5Y29ycA	aerodynamika	Aerodynamics
Mx4r0lfHALC2QdeSs6U7u99OOA	inżynier aeronautyczny	AeronauticalEngineer
Mx4rwQaFGpwpEbGdrcN5Y29ycA	aeronautyka	Aeronautics
Mx4rvVkAwJwpEbGdrcN5Y29ycA	puszka z aerozolem	AerosolCan
Mx4rvVj6w5wpEbGdrcN5Y29ycA	dezodorant w aerozolu	AerosolDeodorant
Mx4rwQBj4pwpEbGdrcN5Y29ycA	aerozol	AerosolStuff
Mx4rwQrkrpwpEbGdrcN5Y29ycA	specjalista medycyny kosmicznej	AerospaceMedicineSpecialist
Mx4rkbGbDNrWEdqAAAACs6hRXg	bajka Ezopa	AesopsFable
Mx4rmd8LmuRhEdqAAAACs6hRXg	jakość estetyczna	AestheticQuality
Mx4rb6_c0rG6EdmAhAACs6hRjg	wywieranie wpływu	AffectingSomething
Mx4rvVi1x5wpEbGdrcN5Y29ycA	afekt	Affection
Mx4r0AHlEjDMQdifSNMuFLYElQ	oświadczenie zaprzysiężone	Affidavit
Mx4rBy_4XF3fEdaAAABQ2sS97g	potwierdzenie	Affirmation-IBT
Mx4r_TU4ZF3cEdaAAABQ2sS97g	potwierdzanie	Affirming-Replying
Mx4rv4gY5ZwpEbGdrcN5Y29ycA	afiksacja	Affixation-WordFormationProcess
Mx4rv9CT-ZwpEbGdrcN5Y29ycA	mieszkalnictwo przystępne cenowo	AffordableHousing
Mx4rwK4e95wpEbGdrcN5Y29ycA	afrykata	Affricative-Consonant
Mx4rbZ15-r7UQdeYzOYlUnlRyA	kuchnia afgańska	AfghanCuisine
Mx4rwEDsA5wpEbGdrcN5Y29ycA	chart afgański	AfghanHound
Mx4rHeWnIKUVQdiKoK76xGZyFQ	amator	Aficionado
Mx4rQXRcnuoYQdeERLuWRKMEFw	afrykańskie państwo	AfricanCountry
Mx4rQECcWr7wQdeMGtJZmRuE5w	kuchnia afrykańska	AfricanCuisine
Mx4rwQttw5wpEbGdrcN5Y29ycA	słoń afrykański	AfricanElephant
Mx4rv7vR5ZwpEbGdrcN5Y29ycA	papuga popielata	AfricanGreyParrot
Mx4rleFdkQCZEdeApQADR6QijQ	afrykańska palma olejna	AfricanOilPalm
Mx4rA0lhU7OnEdeT8QACs6hPlA	śpiączka afrykańska	AfricanSleepingSickness
Mx4rvVi0YZwpEbGdrcN5Y29ycA	fiołek afrykański	AfricanViolet
Mx4rwQCNMpwpEbGdrcN5Y29ycA	krem po goleniu	AfterShaveLotion
Mx4rwF6FDZwpEbGdrcN5Y29ycA	preparat po opalaniu	AfterSunCare
Mx4rvViGOpwpEbGdrcN5Y29ycA	popołudnie	Afternoon
Mx4rzIMJ4TDFEdieNAACs6hciw	wstrząs wtórny	Aftershock
Mx4rvf_5VZwpEbGdrcN5Y29ycA	agat	Agate
Mx4rvsaaeJwpEbGdrcN5Y29ycA	podmiot	Agent-Generic
Mx4rvViAB5wpEbGdrcN5Y29ycA	podmiot materialny	Agent-PartiallyTangible
Mx4rwImSW5wpEbGdrcN5Y29ycA	uogólniony podmiot	Agent-Underspecified
Mx4r5VCA6uPJQdeV26NBeHvnog	typ podmiotu w zależności od statusu w organizacji	AgentTypeByOrganizationStatus
Mx4rhZjNsB62QdiECZQD_tmZAw	agonia	Agony
Mx4rleHSwgCZEdeApQADR6QijQ	aguti	Agouti
Mx4rvVivo5wpEbGdrcN5Y29ycA	umowa	Agreement
Mx4rwT2hH5wpEbGdrcN5Y29ycA	umowa o dostarczenie usługi	AgreementForOngoingService
Mx4rvWKJBJwpEbGdrcN5Y29ycA	punkt umowy	AgreementLineItem
Mx4rvVkKTpwpEbGdrcN5Y29ycA	towar rolny	AgriculturalCommodity
Mx4rvuKHmpwpEbGdrcN5Y29ycA	sektor rolny	AgriculturalEconomicSector
Mx4rvtKtkZwpEbGdrcN5Y29ycA	przedsiębiorstwo rolne	AgriculturalFacility
Mx4rvVic7pwpEbGdrcN5Y29ycA	sprzęt rolniczy	AgriculturalImplement
Mx4rwHVo1JwpEbGdrcN5Y29ycA	produkt rolny	AgriculturalProduct
Mx4rDMGBtrkUEdqAAAACs6hnmQ	szkoła rolnicza	AgriculturalSchool
Mx4r_oN4rjUOEdqAAAACs71DGQ	pojazd rolniczy	AgriculturalVehicle
Mx4rvVirpJwpEbGdrcN5Y29ycA	wydział rolnictwa	AgricultureDepartment
Mx4rv672hpwpEbGdrcN5Y29ycA	organizacja rolnicza	AgricultureOrganization
Mx4r31BE5OFbQdaVR-eU29YYIA	cząsteczka środka agrochemicznego	Agrochemical-Molecule
Mx4r3aCcJI1oQdiR6JEYvRUHJw	agronom	Agronomist
Mx4r-bYxCI1oQdiKbMnqsfy8nw	agronomia	Agronomy
Mx4rvVjADJwpEbGdrcN5Y29ycA	powietrze	Air
Mx4rIyLYOu7zQdeTlYiRYvhHDw	atak powietrzny	AirAssault
Mx4rvvfJwZwpEbGdrcN5Y29ycA	kręgowiec oddychający powietrzem atmosferycznym	AirBreathingVertebrate
Mx4rv8z0PJwpEbGdrcN5Y29ycA	aerograf	AirBrush
Mx4rvViwMpwpEbGdrcN5Y29ycA	kompresor powietrza	AirCompressor
Mx4rvViSnpwpEbGdrcN5Y29ycA	klimatyzacja	AirConditioner
Mx4rvfiqHJwpEbGdrcN5Y29ycA	wieża kontroli lotów	AirControlTower
Mx4rvViUtJwpEbGdrcN5Y29ycA	chłodnica powietrza	AirCoolingDevice
Mx4rvnQX5ZwpEbGdrcN5Y29ycA	działo przeciwlotnicze	AirDefenseGun
Mx4rvxSg6JwpEbGdrcN5Y29ycA	system przeciwlotniczy	AirDefenseSystem
Mx4rvevI1ZwpEbGdrcN5Y29ycA	broń przeciwlotnicza	AirDefenseWeapon
Mx4rvViy5pwpEbGdrcN5Y29ycA	filtr powietrza	AirFilter
Mx4rwQwazJwpEbGdrcN5Y29ycA	siły powietrzne	AirForce
Mx4rwMOzUJwpEbGdrcN5Y29ycA	teren bazy lotniczej	AirForceBase-Grounds
Mx4rvVyQ4ZwpEbGdrcN5Y29ycA	baza sił powietrznych	AirForceBase-MilitaryOrganization
Mx4rv43n45wpEbGdrcN5Y29ycA	rezerwa sił powietrznych	AirForceReserves
Mx4rvViEnJwpEbGdrcN5Y29ycA	front atmosferyczny	AirFrontEvent
Mx4rvViU9pwpEbGdrcN5Y29ycA	grzejnik	AirHeatingDevice
Mx4rvVjcOpwpEbGdrcN5Y29ycA	zawody w strzelaniu z pistoletu pneumatycznego	AirPistolShootingSportsEvent
Mx4rvgEM8JwpEbGdrcN5Y29ycA	zanieczyszczanie powietrza	AirPollutionProcess
Mx4rwP2Id5wpEbGdrcN5Y29ycA	śmigło	AirPropeller
Mx4rvVjA35wpEbGdrcN5Y29ycA	pompa powietrza	AirPump
Mx4rvZb0w5wpEbGdrcN5Y29ycA	oczyszczacz powietrza	AirPurifier
Mx4rvVi9tpwpEbGdrcN5Y29ycA	oddychanie powietrzem	AirRespiration
Mx4rvVkLVZwpEbGdrcN5Y29ycA	zawody w strzelaniu z wiatrówki	AirRifleShootingSportsEvent
Mx4rwP1dOZwpEbGdrcN5Y29ycA	pokaz lotniczy	AirShow
Mx4rwLNF_pwpEbGdrcN5Y29ycA	kontrolowanie przestrzeni powietrznej	AirTrafficControl
Mx4rvViuUJwpEbGdrcN5Y29ycA	powietrzne urządzenie transportowe	AirTransportationDevice
Mx4rDfMS2KT5QdiKnvyQO7y_eQ	transport powietrzny	AirTransportationEvent
Mx4rvVj0cJwpEbGdrcN5Y29ycA	układ nawiewu	AirVentSystem
Mx4r_ZE92GdYEdqAAAACs6hnlQ	światło ostrzegawcze przeszkody lotniczej	AirWarningLight
Mx4rG7c-4Bl3EdaAAABgCEAsSQ	epidemia choroby przenoszonej drogą kropelkową	AirborneEpidemic
Mx4rvVkMfJwpEbGdrcN5Y29ycA	pokład statku powietrznego	AircraftCabin
Mx4rwQCZhZwpEbGdrcN5Y29ycA	lotniskowiec	AircraftCarrier
Mx4rvs5tTJwpEbGdrcN5Y29ycA	członek załogi statku powietrznego	AircraftCrewMember
Mx4rviAfdpwpEbGdrcN5Y29ycA	silnik lotniczy	AircraftEngine
Mx4rvVjI9ZwpEbGdrcN5Y29ycA	hangar lotniczy	AircraftHangar
Mx4rxenJqPSoEdqAAAACs71DGQ	lądowisko	AircraftLandingAndTakeoffFacility
Mx4rvViWIpwpEbGdrcN5Y29ycA	mechanik lotniczy	AircraftMechanic
Mx4rlhfe2MsSEdmAAAACs6hRjg	most powietrzny	Airlift
Mx4rvtMRD5wpEbGdrcN5Y29ycA	rezerwacja biletu lotniczego	AirlineReservation
Mx4rvViCi5wpEbGdrcN5Y29ycA	samolot	Airplane
